<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AGHIGH,d,20230419,000000,84100,84200,82200,82630,62577
AGHIGH,d,20230424,000000,83000,84500,83000,84320,21715
AGHIGH,d,20230425,000000,85000,86600,85000,86600,85668
AGHIGH,d,20230426,000000,85500,85690,83000,84390,109075
AGHIGH,d,20230429,000000,83940,86300,83940,86300,56628
AGHIGH,d,20230430,000000,87500,87600,86150,87600,388675
AGHIGH,d,20230501,000000,88300,88710,87120,88710,38216
AGHIGH,d,20230502,000000,89490,90350,89000,90250,1153518
AGHIGH,d,20230503,000000,90320,92000,90320,91930,56036
AGHIGH,d,20230506,000000,91670,99000,91670,96600,135417
AGHIGH,d,20230507,000000,98930,98940,90300,91500,98402
AGHIGH,d,20230508,000000,89000,90000,84900,85410,298166
AGHIGH,d,20230509,000000,86000,91630,85860,87500,198849
AGHIGH,d,20230510,000000,87500,87700,81600,82600,142736
AGHIGH,d,20230513,000000,86740,86740,79100,80050,125915
AGHIGH,d,20230514,000000,81060,87000,81060,85000,86254
AGHIGH,d,20230515,000000,83680,84400,81000,82450,15022
AGHIGH,d,20230517,000000,82000,84800,82000,83760,17428
AGHIGH,d,20230520,000000,86490,86490,83910,83950,12397
AGHIGH,d,20230521,000000,83950,85000,83900,85000,11140
AGHIGH,d,20230522,000000,85900,86390,84660,86040,78976
AGHIGH,d,20230523,000000,85820,86500,85500,86000,18049
AGHIGH,d,20230524,000000,86500,87100,85800,86900,317744
AGHIGH,d,20230527,000000,85300,85500,84300,84300,16548
AGHIGH,d,20230528,000000,84500,84500,81500,81850,69148
AGHIGH,d,20230529,000000,82200,83000,82100,82400,23370
AGHIGH,d,20230530,000000,82500,84900,82300,84200,51230
AGHIGH,d,20230531,000000,82900,83800,82900,82900,12401
AGHIGH,d,20230603,000000,82600,84140,82600,84000,22223
AGHIGH,d,20230606,000000,84500,84990,83300,84980,34284
AGHIGH,d,20230607,000000,83800,84300,83800,83900,17531
AGHIGH,d,20230610,000000,83200,83200,80500,80510,10611
AGHIGH,d,20230611,000000,80400,81000,80400,81000,8463
AGHIGH,d,20230612,000000,80800,80800,77550,78450,23312
AGHIGH,d,20230613,000000,77960,80000,77960,80000,7168
AGHIGH,d,20230614,000000,81500,81500,80000,81500,16963
AGHIGH,d,20230617,000000,81500,82500,81500,82490,15673
AGHIGH,d,20230618,000000,79350,80000,79000,80000,6088
AGHIGH,d,20230619,000000,79150,81500,79150,79400,11182
AGHIGH,d,20230620,000000,79200,81490,78450,81490,19302
AGHIGH,d,20230621,000000,81490,82480,80010,82000,7843
AGHIGH,d,20230624,000000,81000,82200,80000,82190,5579
AGHIGH,d,20230625,000000,82000,82100,81000,81950,10389
AGHIGH,d,20230626,000000,80200,89700,80200,82590,97940
AGHIGH,d,20230627,000000,81510,84440,81500,82300,13548
AGHIGH,d,20230628,000000,81000,82490,78700,82460,230454
AGHIGH,d,20230701,000000,79700,82350,79200,79520,29436
AGHIGH,d,20230702,000000,79400,81840,79310,80100,36642
AGHIGH,d,20230703,000000,82000,82000,81500,82000,9000
AGHIGH,d,20230704,000000,82990,83000,81760,81760,53775
AGHIGH,d,20230705,000000,81750,82700,81750,82690,16322
AGHIGH,d,20230708,000000,82600,83080,82000,82380,7524
AGHIGH,d,20230709,000000,82920,82930,81010,81010,3677
AGHIGH,d,20230710,000000,82720,83000,80400,80400,7240
AGHIGH,d,20230711,000000,82000,82100,79810,80400,52227
AGHIGH,d,20230712,000000,77800,79850,77800,79850,55978
AGHIGH,d,20230715,000000,78990,79000,77900,77900,18472
AGHIGH,d,20230716,000000,79990,80000,78900,80000,20286
AGHIGH,d,20230717,000000,79000,79100,77800,79100,57205
AGHIGH,d,20230718,000000,78420,78450,77500,78440,14649
AGHIGH,d,20230719,000000,78000,78150,75500,75820,17644
AGHIGH,d,20230722,000000,74610,77900,74310,77900,4316
AGHIGH,d,20230723,000000,73600,74500,73600,74400,5639
AGHIGH,d,20230724,000000,76490,76800,76490,76600,15831
AGHIGH,d,20230725,000000,75360,76000,74450,74450,2612
AGHIGH,d,20230726,000000,74500,76000,74500,76000,12386
AGHIGH,d,20230729,000000,76100,76270,74150,74150,17463
AGHIGH,d,20230730,000000,74200,74200,72850,72850,6069
AGHIGH,d,20230731,000000,74000,74380,74000,74380,1218
AGHIGH,d,20230801,000000,73200,74500,73200,74500,18515
AGHIGH,d,20230805,000000,74560,76100,74550,76000,15653
AGHIGH,d,20230806,000000,76000,76000,75300,75700,3194
AGHIGH,d,20230807,000000,77490,77490,75500,75600,2078
AGHIGH,d,20230808,000000,75500,77300,75200,77300,6913
AGHIGH,d,20230809,000000,77000,77000,75300,75800,4522
AGHIGH,d,20230812,000000,74500,74500,72650,72650,2651
AGHIGH,d,20230813,000000,74920,75200,72200,75200,30309
AGHIGH,d,20230814,000000,73800,75480,73300,73300,15788
AGHIGH,d,20230815,000000,72800,72800,71800,72000,59055
AGHIGH,d,20230816,000000,72050,72060,71400,71800,215164
AGHIGH,d,20230819,000000,71800,73000,70500,72000,38523
AGHIGH,d,20230820,000000,72000,72000,70900,71150,28655
AGHIGH,d,20230821,000000,71700,71700,71300,71600,15972
AGHIGH,d,20230822,000000,71150,71500,70150,71500,14914
AGHIGH,d,20230823,000000,70900,72300,70900,72300,25171
AGHIGH,d,20230826,000000,72400,74450,72300,74400,3429
AGHIGH,d,20230827,000000,75390,76200,75390,75450,658
AGHIGH,d,20230828,000000,75460,76700,75460,76110,43523
AGHIGH,d,20230829,000000,76500,76800,76000,76800,28791
AGHIGH,d,20230830,000000,77000,77200,75860,77000,23297
AGHIGH,d,20230902,000000,77500,77600,77000,77300,43656
AGHIGH,d,20230903,000000,76100,77000,76100,76900,45105
AGHIGH,d,20230904,000000,77000,77000,76700,77000,6792
AGHIGH,d,20230905,000000,77000,77800,77000,77000,2136
AGHIGH,d,20230909,000000,77100,77840,77000,77000,5085
AGHIGH,d,20230910,000000,76100,77000,75900,76100,51193
AGHIGH,d,20230911,000000,76250,76800,76250,76550,5026
AGHIGH,d,20230912,000000,76500,77150,76500,76720,4164
AGHIGH,d,20230913,000000,76830,77650,76830,77650,3248
AGHIGH,d,20230917,000000,77850,78300,77780,77800,14417
AGHIGH,d,20230918,000000,77760,78400,77300,77300,430974
AGHIGH,d,20230919,000000,77900,77900,77250,77250,15000
AGHIGH,d,20230920,000000,77390,77700,77200,77700,653860
AGHIGH,d,20230923,000000,76700,77430,76700,77430,17082
AGHIGH,d,20230925,000000,76800,76840,76200,76220,253741
AGHIGH,d,20230926,000000,76800,76800,76100,76140,25100
AGHIGH,d,20230927,000000,76800,76800,76700,76700,23670
AGHIGH,d,20230930,000000,75800,76350,75800,75900,124210
AGHIGH,d,20231001,000000,75210,75710,75200,75300,25816
AGHIGH,d,20231002,000000,74600,75300,74600,75300,24482
AGHIGH,d,20231004,000000,75550,75640,74970,75450,5224
AGHIGH,d,20231007,000000,74460,74510,73500,73500,16971
AGHIGH,d,20231008,000000,71510,72300,71280,72100,916
AGHIGH,d,20231009,000000,72300,72300,71280,71900,1264
AGHIGH,d,20231010,000000,72390,73770,72120,73770,52743
AGHIGH,d,20231011,000000,73700,73700,72700,72700,9300
AGHIGH,d,20231014,000000,71350,71850,71100,71100,15071
AGHIGH,d,20231015,000000,71900,71900,71100,71350,55668
AGHIGH,d,20231016,000000,72100,73090,72100,73090,17783
AGHIGH,d,20231017,000000,72900,73200,72700,72700,47003
AGHIGH,d,20231018,000000,71900,72200,71900,72200,31608
AGHIGH,d,20231021,000000,72260,72400,72250,72400,42817
AGHIGH,d,20231022,000000,73100,73300,73100,73200,14040
AGHIGH,d,20231023,000000,72700,72700,72700,72700,143
AGHIGH,d,20231024,000000,72000,72000,70500,71220,20795
AGHIGH,d,20231025,000000,71300,71630,70900,71200,2744
AGHIGH,d,20231028,000000,71000,71000,68610,68900,26604
AGHIGH,d,20231029,000000,68200,69280,68200,69280,16270
AGHIGH,d,20231030,000000,70400,71480,70100,70600,224646
AGHIGH,d,20231031,000000,71300,71300,70000,70000,2291
